Change component parameters: Designator = "C1" ("C1"); Footprint = "1608C"; UniqueID = "\SCIBGMYV\AVHKPXIF" ("\SCIBGMYV\AVHKPXIF")
Change component parameters (AddParameter): Name = "A I"; Value = "255"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "autIdem"; Value = "255"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CapacitanceSI"; Value = "4,7E-6"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2019/05/10/19-CL10A475KP8NNNC.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contronix P/N"; Value = "CKAU8N"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Created"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Customer Source"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Design Item Id"; Value = "CAP-4u7-10V-10%-X5R-1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ESR"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FeederPitch"; Value = "4mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FeederType"; Value = "Tape 8mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "hasAltManufacturer"; Value = "0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Samsung"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "CL10A475KP8NNNC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "CL10A475KP8NNNC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Material"; Value = "X5R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Modified"; Value = "26.06.2020 15:47:54"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MountingType"; Value = "SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "NozzleType"; Value = "711/911"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "NumberOfPins"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "NumberOfRows"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Obsolete"; Value = "0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageCNTX"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageManufacturer"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "polarized"; Value = "0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "0,13"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price (€)"; Value = "0,13"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Remark"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ReplacedBy"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock"; Value = "455"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 2"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 3"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "1276-1044-1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 2"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 3"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "4.7 µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "10"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage (V)"; Value = "10"; VariantName = "[No Variations]"
